date,open,high,low,close
 2022/12/29,6.02,6.09,5.95,5.95
 2022/12/30,6,6.03,5.91,5.99
 2023/01/03,6.01,6.17,5.98,6.12
 2023/01/04,6.1,6.2,6.06,6.19
 2023/01/05,6.2,6.21,6.12,6.19
 2023/01/06,6.21,6.21,6.1,6.12
 2023/01/09,6.17,6.2,6.1,6.17
 2023/01/10,6.18,6.19,6.07,6.1
 2023/01/11,6.15,6.16,5.98,6.01
 2023/01/12,6.04,6.08,5.95,6.02
 2023/01/13,6.05,6.12,5.94,6
 2023/01/16,5.97,6.12,5.95,6.08
 2023/01/17,6.13,6.13,6.01,6.03
 2023/01/18,6.05,6.12,6,6.12
 2023/01/19,6.07,6.24,6.07,6.23
 2023/01/20,6.21,6.28,6.18,6.27
 2023/01/30,6.3,6.48,6.29,6.43
 2023/01/31,6.44,6.51,6.33,6.48
 2023/02/01,6.45,6.64,6.45,6.61
 2023/02/02,6.62,6.65,6.55,6.56
 2023/02/03,6.64,6.64,6.5,6.57
 2023/02/06,6.54,6.65,6.5,6.58
 2023/02/07,6.59,6.67,6.55,6.67
 2023/02/08,6.67,6.82,6.57,6.6
 2023/02/09,6.61,6.73,6.56,6.73
 2023/02/10,6.69,6.84,6.69,6.8
 2023/02/13,6.83,7.16,6.79,6.94
 2023/02/14,6.93,6.99,6.83,6.87
 2023/02/15,6.94,6.94,6.78,6.89
 2023/02/16,6.89,7.05,6.76,6.83
 2023/02/17,6.77,6.88,6.7,6.71
 2023/02/20,6.56,6.96,6.56,6.86
 2023/02/21,6.87,6.9,6.77,6.87
 2023/02/22,6.87,6.87,6.7,6.75
 2023/02/23,6.77,6.86,6.73,6.78
 2023/02/24,6.82,6.86,6.75,6.81
 2023/02/27,6.8,6.83,6.63,6.65
 2023/02/28,6.72,6.77,6.63,6.69
 2023/03/01,6.68,6.83,6.64,6.83
 2023/03/02,6.81,6.88,6.74,6.76
 2023/03/03,6.7,6.82,6.64,6.69
 2023/03/06,6.83,7.18,6.72,6.8
 2023/03/07,6.76,6.89,6.59,6.61
 2023/03/08,6.61,6.73,6.59,6.69
 2023/03/09,6.67,6.77,6.63,6.76
 2023/03/10,6.71,6.78,6.66,6.66
 2023/03/13,7.18,7.44,6.61,6.68
 2023/03/14,6.55,6.67,6.36,6.46
 2023/03/15,6.53,6.79,6.52,6.69
 2023/03/16,6.74,6.96,6.59,6.61
 2023/03/17,6.63,6.97,6.61,6.81
 2023/03/20,6.77,7.04,6.77,6.91
 2023/03/21,6.9,6.99,6.81,6.85
 2023/03/22,6.83,7.02,6.83,6.97
 2023/03/23,6.9,6.97,6.78,6.8
 2023/03/24,6.78,6.83,6.69,6.74
 2023/03/27,6.78,6.9,6.72,6.88
 2023/03/28,6.88,6.95,6.82,6.85
 2023/03/29,6.78,6.88,6.68,6.69
 2023/03/30,6.67,6.76,6.55,6.67
 2023/03/31,6.66,6.66,6.54,6.6
 2023/04/03,6.64,6.7,6.56,6.66
 2023/04/04,6.65,6.71,6.51,6.56
 2023/04/06,6.57,6.57,6.42,6.5
 2023/04/07,6.51,6.52,6.34,6.41
 2023/04/10,6.42,6.42,6.16,6.2
 2023/04/11,6.3,6.3,6.07,6.14
 2023/04/12,6.13,6.39,6.12,6.3
 2023/04/13,6.28,6.38,6.24,6.32
 2023/04/14,6.32,6.95,6.32,6.85
 2023/04/17,6.85,7.09,6.68,6.73
 2023/04/18,6.74,6.78,6.48,6.53
 2023/04/19,6.53,6.56,6.4,6.5
 2023/04/20,6.51,6.55,6.38,6.46
 2023/04/21,6.45,6.48,6.23,6.28
 2023/04/24,6.3,6.3,6.14,6.21
 2023/04/25,6.16,6.24,5.95,6.07
 2023/04/26,5.99,6.14,5.95,6.1
 2023/04/27,6.06,6.07,5.9,5.95
 2023/04/28,5.99,6.22,5.94,6.18
 2023/05/04,6.15,6.44,6.11,6.37
 2023/05/05,6.42,6.54,6.25,6.45
 2023/05/08,6.46,6.67,6.45,6.59
 2023/05/09,6.58,6.65,6.36,6.37
 2023/05/10,6.36,6.56,6.36,6.49
 2023/05/11,6.55,6.58,6.49,6.53
 2023/05/12,6.57,6.59,6.35,6.39
 2023/05/15,6.43,6.45,6.3,6.45
 2023/05/16,6.44,6.44,6.34,6.39
 2023/05/17,6.33,6.53,6.33,6.53
 2023/05/18,6.57,6.85,6.53,6.82
 2023/05/19,6.82,6.83,6.62,6.65
 2023/05/22,6.71,6.71,6.52,6.57
